Farm Name,Sowing Date,Seeding Rate,DAP/MOP Fertilizer Applied quantity,UREA1 Fertilizer Applied quantity,UREA2 Fertilizer Applied quantity
Commulative,10-20 May,8.01,10.03,7.01,
Charan Das Plot 1,15/05/2024,8,10.05,7,
Charan Das Plot 2,15/05/2024,8.04,10.04,7.04,
Charan Das Plot 3,16/05/2024,8.03,10.06,6.98,
Charan Das Plot 4,16/05/2024,7.98,10.04,7.04,
Charan Das Plot 5,16/05/2024,8.03,10.04,6.99,
Charan Das Plot 6,16/05/2024,8.02,10.02,7.01,
Charan Das Plot 7,16/05/2024,7.96,10.06,6.91,
Charan Das Plot 8,16/05/2024,8,10.06,7.01,
Charan Das Plot 9,16/05/2024,8.14,10.05,6.94,
Charan Das Plot 10,16/05/2024,8,10.03,7.04,
Charan Das Plot 11,16/05/2024,8.02,10.01,7.02,
Charan Das Plot 12,16/05/2024,8.04,10.02,6.99,
Charan Das Plot 13,16/05/2024,7.97,10.01,6.94,
Charan Das Plot 14,16/05/2024,8.03,10.01,6.98,
Charan Das Plot 15,16/05/2024,7.98,10.06,7.03,
Charan Das Plot 16,16/05/2024,7.89,9.87,6.9,
Charan Das Plot 17,16/05/2024,8.03,10.04,7.01,
Charan Das Plot 18,17/05/2024,8.02,10,6.98,
Charan Das Plot 19,17/05/2024,7.99,10.08,7.01,
Charan Das Plot 20,17/05/2024,8.01,10.03,7,
Ramesh Plot 1,17/05/2024,8.02,10.03,7.02,
Ramesh Plot 2,17/05/2024,8.04,10.08,7.02,
Ramesh Plot 3,17/05/2024,8,10,7,
Ramesh Plot 4,17/05/2024,8.03,10.06,7.06,
Nain Singh Plot 1,18/05/2024,8.01,10.03,7.02,
Nain Singh Plot 2,18/05/2024,8.02,10.03,7.01,
Nain Singh Plot 3,18/05/2024,8.06,10.05,7.01,
Nain Singh Plot 4,18/05/2024,8.03,10.03,7.02,
Rakesh Plot 1,19/05/2024,8.01,10.02,7.01,
Rakesh Plot 2,19/05/2024,8.03,9.98,7.05,
Rakesh Plot 3,18/05/2024,7.92,10.08,6.96,
Rakesh Plot 4,19/05/2024,7.98,10.08,7,
Rakesh Plot 5,19/05/2024,8.18,10,7.27,
Rakesh Plot 6,19/05/2024,7.66,10.22,6.81,
Rakesh Plot 7,19/05/2024,7.19,10.79,7.19,
Rakesh Plot 8,19/05/2024,8.01,10.02,7.09,
Rakesh Plot 9,19/05/2024,8.09,10.02,6.93,
Rakesh Plot 10,19/05/2024,7.98,10.09,6.93,
Rakesh Plot 11,19/05/2024,8.15,10.03,6.9,
Rajendra Plot 1,19/05/2024,8.11,9.98,7.07,
Rajendra Plot 2,19/05/2024,8.04,9.99,7.02,
Rajendra Plot 3,19/05/2024,8.08,10.04,6.97,
Rajendra Plot 4,20/05/2024,8.06,10.01,7.04,
Rajendra Plot 5,20/05/2024,8.13,9.97,7.02,
Rajendra Plot 6,20/05/2024,8.24,9.79,7.21,
Rajendra Plot 7,20/05/2024,7.92,10.14,6.93,
Rajendra Plot 8,19/05/2024,8.11,9.91,6.98,
Dinesh plot 1,19/05/2024,8.01,10.04,7,
Dinesh plot 2,19/05/2024,8.11,9.93,7.09,
Jay Dev Plot 1,19/05/2024,8.02,10.02,7.1,
Jay Dev Plot 2,19/05/2024,8.11,9.98,7.07,
Jay Dev Plot 3,19/05/2024,7.99,10.03,7.05,
Dev Prakash Plot 1,19/05/2024,8.02,10.03,7.02,
Dev Prakash Plot 2,19/05/2024,8,10,7,
Dev Prakash Plot 3,19/05/2024,8,10,7,
Dev Prakash Plot 4,20/05/2024,8.03,10.03,7.03,
Mahendra Plot 1,20/05/2024,8.04,10.03,7,
Som Dev Plot 1,20/05/2024,8.03,10.03,7.03,
Jagdev_plot_1,20/05/2024,8.03,10.03,7.03,
